species,status,precision_v1,precision_v2,precision_delta,recall_v1,recall_v2,recall_delta,f1_score_v1,f1_score_v2,f1_score_delta,support_v1,support_v2
Abracris_flavolineata,both,0.8333,0.8,-0.0333,1.0,0.8,-0.2,0.9091,0.8,-0.1091,5,5
Achlyodes_pallida,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Acropternis_orthonyx,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Actinote_neleus,both,1.0,0.7143,-0.2857,1.0,1.0,0.0,1.0,0.8333,-0.1667,5,5
Actinote_stratonice,both,0.6,0.75,0.15,0.6,0.6,0.0,0.6,0.6667,0.0667,5,5
Adelomyia_melanogenys,both,1.0,0.9091,-0.0909,0.8333,0.8333,0.0,0.9091,0.8696,-0.0395,12,12
Adhemarius_sexoculata,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Aechmea_angustifolia,both,1.0,1.0,0.0,0.8,1.0,0.2,0.8889,1.0,0.1111,5,5
Aglaeactis_cupripennis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15,15
Aglaiocercus_coelestis,both,0.8333,1.0,0.1667,1.0,0.6,-0.4,0.9091,0.75,-0.1591,5,5
Aglaiocercus_kingii,both,1.0,0.8667,-0.1333,0.8,0.8667,0.0667,0.8889,0.8667,-0.0222,15,15
Aiouea_montana,both,0.5714,0.6667,0.0953,0.8,0.8,0.0,0.6667,0.7273,0.0606,5,5
Alouatta_seniculus,both,0.8,0.75,-0.05,0.8,0.6,-0.2,0.8,0.6667,-0.1333,5,5
Altinote_ozomene,both,0.8571,0.8571,0.0,0.8571,0.8571,0.0,0.8571,0.8571,0.0,7,7
Amanita_muscaria,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Amastus_aconia,both,1.0,1.0,0.0,1.0,0.8,-0.2,1.0,0.8889,-0.1111,5,5
Amastus_coccinator,both,1.0,1.0,0.0,1.0,0.8,-0.2,1.0,0.8889,-0.1111,5,5
Amastus_episcotosia,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Amastus_thalassina,both,1.0,0.8889,-0.1111,1.0,1.0,0.0,1.0,0.9412,-0.0588,8,8
Amazilia_tzacatl,both,0.75,0.8571,0.1071,0.6667,0.6667,0.0,0.7059,0.75,0.0441,9,9
Amazona_mercenaria,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Ampelioides_tschudii,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Ampelion_rubrocristatus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Ampelion_rufaxilla,both,1.0,0.6667,-0.3333,0.6,0.8,0.2,0.75,0.7273,-0.0227,5,5
Anartia_amathea,both,0.9231,1.0,0.0769,0.9231,0.9231,0.0,0.9231,0.96,0.0369,13,13
Anartia_jatrophae,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Ancognatha_scarabaeoides,both,0.8333,0.8,-0.0333,1.0,0.8,-0.2,0.9091,0.8,-0.1091,5,5
Ancognatha_vulgaris,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Andesanthus_lepidotus,both,0.75,0.75,0.0,0.6,0.6,0.0,0.6667,0.6667,0.0,5,5
Andigena_hypoglauca,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15,15
Andigena_nigrirostris,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,14,14
Andinia_pilosella,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Andinobates_daleswansoni,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Anisognathus_igniventris,both,1.0,1.0,0.0,1.0,0.9333,-0.0667,1.0,0.9655,-0.0345,15,15
Anisognathus_lacrymosus,both,0.9286,0.8333,-0.0953,0.8667,1.0,0.1333,0.8966,0.9091,0.0125,15,15
Anisognathus_somptuosus,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,15,15
Anolis_antonii,both,0.875,1.0,0.125,0.875,0.875,0.0,0.875,0.9333,0.0583,8,8
Anolis_quimbaya,both,1.0,0.6667,-0.3333,0.6,0.4,-0.2,0.75,0.5,-0.25,5,5
Anolis_ventrimaculatus,both,0.6667,0.6667,0.0,0.8,0.8,0.0,0.7273,0.7273,0.0,5,5
Anteos_clorinde,both,0.625,0.5714,-0.0536,1.0,0.8,-0.2,0.7692,0.6667,-0.1025,5,5
Anthanassa_drusilla,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Anthoptus_epictetus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Anthracothorax_nigricollis,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Anthurium_caramantae,both,0.75,0.8571,0.1071,1.0,1.0,0.0,0.8571,0.9231,0.066,6,6
Anthurium_crystallinum,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Aotus_griseimembra,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Aotus_lemurinus,both,0.6667,1.0,0.3333,0.8,0.8,0.0,0.7273,0.8889,0.1616,5,5
Aphelandra_runcinata,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Apis_mellifera,both,0.9091,0.9091,0.0,0.8333,0.8333,0.0,0.8696,0.8696,0.0,12,12
Ara_severus,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Araneus_granadensis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Aratinga_pertinax,both,1.0,0.8,-0.2,1.0,0.8,-0.2,1.0,0.8,-0.2,5,5
Aratinga_wagleri,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Araucaria_columnaris,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Archonias_flisa,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Ardea_alba,both,1.0,0.75,-0.25,0.8,0.6,-0.2,0.8889,0.6667,-0.2222,5,5
Ardea_cocoi,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Argiope_argentata,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7,7
Aristolochia_cordiflora,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Arremon_assimilis,both,1.0,0.9375,-0.0625,1.0,1.0,0.0,1.0,0.9677,-0.0323,15,15
Arremon_brunneinucha,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Arundina_graminifolia,both,0.6667,0.6667,0.0,0.8,0.8,0.0,0.7273,0.7273,0.0,5,5
Ascalapha_odorata,both,0.8889,1.0,0.1111,1.0,1.0,0.0,0.9412,1.0,0.0588,8,8
Asclepias_curassavica,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Asio_stygius,both,1.0,0.7143,-0.2857,1.0,1.0,0.0,1.0,0.8333,-0.1667,5,5
Atlapetes_albinucha,both,0.6667,1.0,0.3333,0.4,0.6,0.2,0.5,0.75,0.25,5,5
Atlapetes_flaviceps,both,0.8333,0.75,-0.0833,1.0,0.6,-0.4,0.9091,0.6667,-0.2424,5,5
Atlapetes_pallidinucha,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,8,8
Atlapetes_schistaceus,both,1.0,1.0,0.0,0.9333,0.9333,0.0,0.9655,0.9655,0.0,15,15
Atractus_lehmanni,both,0.625,0.625,0.0,1.0,1.0,0.0,0.7692,0.7692,0.0,5,5
Atractus_obesus,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Atta_cephalotes,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Aulacorhynchus_albivitta,both,1.0,0.9167,-0.0833,1.0,1.0,0.0,1.0,0.9565,-0.0435,11,11
Aulacorhynchus_haematopygus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Baccharis_latifolia,both,0.4444,0.4,-0.0444,0.8,0.8,0.0,0.5714,0.5333,-0.0381,5,5
Bangsia_melanochlamys,both,0.6667,1.0,0.3333,0.8,0.8,0.0,0.7273,0.8889,0.1616,5,5
Basileuterus_culicivorus,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Basiliscus_galeritus,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Begonia_lehmannii,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Begonia_maurandiae,both,1.0,1.0,0.0,0.8,1.0,0.2,0.8889,1.0,0.1111,5,5
Begonia_umbellata,both,0.7143,0.7143,0.0,0.8333,0.8333,0.0,0.7692,0.7692,0.0,6,6
Begonia_urticae,both,1.0,1.0,0.0,1.0,0.9167,-0.0833,1.0,0.9565,-0.0435,12,12
Bellucia_pentamera,both,0.6667,0.8,0.1333,0.4,0.8,0.4,0.5,0.8,0.3,5,5
Besleria_cinnabarina,both,0.8,0.75,-0.05,0.8,0.6,-0.2,0.8,0.6667,-0.1333,5,5
Boana_platanera,both,0.75,0.75,0.0,0.6,0.6,0.0,0.6667,0.6667,0.0,5,5
Boana_pugnax,both,0.6667,0.7143,0.0476,0.8,1.0,0.2,0.7273,0.8333,0.106,5,5
Bocconia_frutescens,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Boissonneaua_flavescens,both,0.875,0.9333,0.0583,0.9333,0.9333,0.0,0.9032,0.9333,0.0301,15,15
Boissonneaua_jardini,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Bolborhynchus_ferrugineifrons,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Bolitoglossa_lozanoi,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Bombus_funebris,both,1.0,0.8333,-0.1667,0.8,1.0,0.2,0.8889,0.9091,0.0202,5,5
Bombus_hortulanus,both,1.0,0.8333,-0.1667,0.8,1.0,0.2,0.8889,0.9091,0.0202,5,5
Bombus_pauloensis,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Bombus_rubicundus,both,0.6667,0.6667,0.0,0.8,0.8,0.0,0.7273,0.7273,0.0,5,5
Bothriechis_schlegelii,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Bubulcus_ibis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6,6
Burmeistera_bullatifolia,both,0.8,0.6667,-0.1333,0.8,0.8,0.0,0.8,0.7273,-0.0727,5,5
Busarellus_nigricollis,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Buteo_albicaudatus,both,0.75,0.75,0.0,0.6,0.6,0.0,0.6667,0.6667,0.0,5,5
Buteo_brachyurus,both,1.0,1.0,0.0,0.8,0.6,-0.2,0.8889,0.75,-0.1389,5,5
Buteo_platypterus,both,0.8,0.9,0.1,0.8,0.9,0.1,0.8,0.9,0.1,10,10
Buthraupis_montana,both,0.8182,0.8182,0.0,0.9,0.9,0.0,0.8571,0.8571,0.0,10,10
Butorides_striata,both,0.5714,0.625,0.0536,0.8,1.0,0.2,0.6667,0.7692,0.1025,5,5
Cacicus_chrysonotus,both,0.5,0.75,0.25,0.2,0.6,0.4,0.2857,0.6667,0.381,5,5
Caiman_crocodilus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Caligo_atreus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Caligo_oileus,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Callianthe_megapotamica,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Callianthe_picta,both,0.6667,0.6667,0.0,0.8,0.8,0.0,0.7273,0.7273,0.0,5,5
Calliphlox_mitchellii,both,0.625,0.6667,0.0417,1.0,0.8,-0.2,0.7692,0.7273,-0.0419,5,5
Campephilus_pollens,both,1.0,0.625,-0.375,1.0,1.0,0.0,1.0,0.7692,-0.2308,5,5
Capito_hypoleucus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Capsicum_dimorphum,both,0.5714,0.75,0.1786,0.8,0.6,-0.2,0.6667,0.6667,0.0,5,5
Caracara_plancus,both,0.875,0.875,0.0,0.875,0.875,0.0,0.875,0.875,0.0,8,8
Cardellina_canadensis,both,1.0,1.0,0.0,0.8,0.6,-0.2,0.8889,0.75,-0.1389,5,5
Castilia_eranites,both,0.8,1.0,0.2,0.8,0.6,-0.2,0.8,0.75,-0.05,5,5
Castilleja_arvensis,both,0.6,1.0,0.4,0.6,0.8,0.2,0.6,0.8889,0.2889,5,5
Castilleja_fissifolia,both,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,5,5
Catamblyrhynchus_diadema,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Catamenia_homochroa,both,0.75,1.0,0.25,0.6,0.6,0.0,0.6667,0.75,0.0833,5,5
Catamenia_inornata,both,0.5714,0.7143,0.1429,0.8,1.0,0.2,0.6667,0.8333,0.1666,5,5
Catasetum_tabulare,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Catasticta_prioneris,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Cathartes_aura,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Catharus_fuscater,both,1.0,1.0,0.0,0.8,0.6,-0.2,0.8889,0.75,-0.1389,5,5
Catharus_ustulatus,both,0.8333,1.0,0.1667,0.8333,0.6667,-0.1666,0.8333,0.8,-0.0333,6,6
Cecropia_angustifolia,both,0.6,0.75,0.15,0.6,0.6,0.0,0.6,0.6667,0.0667,5,5
Cecropia_telealba,both,0.5714,0.6667,0.0953,0.8,0.8,0.0,0.6667,0.7273,0.0606,5,5
Centropogon_ferrugineus,both,0.8333,1.0,0.1667,1.0,0.8,-0.2,0.9091,0.8889,-0.0202,5,5
Centropogon_foetidus,both,0.75,1.0,0.25,0.6,0.8,0.2,0.6667,0.8889,0.2222,5,5
Centropogon_leucophyllus,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Cerdocyon_thous,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Ceroxylon_quindiuense,both,0.6667,0.8,0.1333,0.8,0.8,0.0,0.7273,0.8,0.0727,5,5
Certhiaxis_cinnamomeus,both,1.0,0.8333,-0.1667,0.8,1.0,0.2,0.8889,0.9091,0.0202,5,5
Chaetocercus_mulsant,both,0.7,0.8333,0.1333,0.5833,0.8333,0.25,0.6364,0.8333,0.1969,12,12
Chaetogastra_gracilis,both,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,5,5
Chaetogastra_grossa,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Chaetogastra_mollis,both,0.6667,1.0,0.3333,0.8,0.6,-0.2,0.7273,0.75,0.0227,5,5
Chalcostigma_herrani,both,0.9231,0.9231,0.0,1.0,1.0,0.0,0.96,0.96,0.0,12,12
Chalybura_buffonii,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Chamaedorea_linearis,both,0.5,0.5,0.0,0.4,0.4,0.0,0.4444,0.4444,0.0,5,5
Chamaedorea_pinnatifrons,both,0.8,0.6,-0.2,0.8,0.6,-0.2,0.8,0.6,-0.2,5,5
Chamaepetes_goudotii,both,1.0,1.0,0.0,0.7857,0.7857,0.0,0.88,0.88,0.0,14,14
Chauna_chavaria,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Chironius_monticola,both,0.8333,0.8,-0.0333,1.0,0.8,-0.2,0.9091,0.8,-0.1091,5,5
Chloroceryle_americana,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Chlorophanes_spiza,both,1.0,1.0,0.0,0.8,0.9,0.1,0.8889,0.9474,0.0585,10,10
Chlorornis_riefferii,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Chlorospingus_flavopectus,both,0.8,0.5714,-0.2286,0.8,0.8,0.0,0.8,0.6667,-0.1333,5,5
Chlorostilbon_melanorhynchus,both,0.5,0.6667,0.1667,0.2,0.4,0.2,0.2857,0.5,0.2143,5,5
Chlosyne_lacinia,both,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,5,5
Choeradodis_rhombicollis,both,1.0,0.75,-0.25,0.4,0.6,0.2,0.5714,0.6667,0.0953,5,5
Chrysomus_icterocephalus,both,1.0,0.7143,-0.2857,1.0,1.0,0.0,1.0,0.8333,-0.1667,5,5
Chrysso_nigriceps,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Cinclodes_excelsior,both,0.7143,0.625,-0.0893,1.0,1.0,0.0,0.8333,0.7692,-0.0641,5,5
Cinclus_leucocephalus,both,0.9,1.0,0.1,1.0,1.0,0.0,0.9474,1.0,0.0526,9,9
Cinnycerthia_olivascens,both,1.0,0.8,-0.2,0.6,0.8,0.2,0.75,0.8,0.05,5,5
Cistothorus_platensis,both,0.8,0.8,0.0,0.6667,0.6667,0.0,0.7273,0.7273,0.0,6,6
Clathrus_archeri,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Clelia_equatoriana,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Cnemathraupis_eximia,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Cnemoscopus_rubrirostris,both,1.0,1.0,0.0,0.6667,0.6667,0.0,0.8,0.8,0.0,6,6
Coeligena_coeligena,both,0.9,1.0,0.1,0.9,1.0,0.1,0.9,1.0,0.1,10,10
Coeligena_lutetiae,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,15,15
Coeligena_torquata,both,0.8462,0.9167,0.0705,0.7333,0.7333,0.0,0.7857,0.8148,0.0291,15,15
Coeligena_wilsoni,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Coereba_flaveola,both,0.6667,0.3333,-0.3334,0.4,0.2,-0.2,0.5,0.25,-0.25,5,5
Colaptes_punctigula,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Colaptes_rivolii,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,11,11
Colaptes_rubiginosus,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Colibri_coruscans,both,1.0,1.0,0.0,0.8667,1.0,0.1333,0.9286,1.0,0.0714,15,15
Colibri_cyanotus,both,0.6875,0.8462,0.1587,1.0,1.0,0.0,0.8148,0.9167,0.1019,11,11
Colobura_dirce,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Colonia_colonus,both,1.0,1.0,0.0,0.8,1.0,0.2,0.8889,1.0,0.1111,5,5
Columbina_talpacoti,both,0.8,1.0,0.2,0.8,0.7,-0.1,0.8,0.8235,0.0235,10,10
Columnea_ceticeps,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Columnea_fuscihirta,both,0.6667,0.7143,0.0476,0.8,1.0,0.2,0.7273,0.8333,0.106,5,5
